id_registro,timestamp,id_equipamento,regiao,umidade_solo_pct,inclinacao_lateral_graus,precipitacao_3h_mm,dist_corpo_agua_m,velocidade_kmh,temperatura_c,horas_operacao_dia,score_risco,nivel_risco,alerta_ativo
214,2025-04-06 10:30:00,EQ-018,Soja-PR,76.5,7.0,22.7,258,16.3,20.8,6.7,56,ALTO,1
215,2025-04-06 11:15:00,EQ-010,Arroz-RS,17.0,2.3,0.6,38,19.8,32.0,7.3,36,MEDIO,0
216,2025-04-06 12:00:00,EQ-003,Cana-SP,56.6,4.8,15.9,11,20.4,21.4,8.2,46,MEDIO,0
217,2025-04-06 12:45:00,EQ-007,Milho-GO,91.2,25.3,5.0,16,18.3,19.3,9.6,78,CRITICO,1
218,2025-04-06 13:30:00,EQ-016,Arroz-RS,67.5,4.1,7.8,539,10.3,39.2,12.7,29,BAIXO,0
219,2025-04-06 14:15:00,EQ-016,Cana-SP,61.6,14.7,31.7,38,32.0,18.3,8.0,62,ALTO,1
220,2025-04-06 15:00:00,EQ-020,Cana-SP,73.0,1.7,4.8,14,16.6,25.9,9.9,48,MEDIO,0
221,2025-04-06 15:45:00,EQ-017,Cerrado-MT,42.6,8.9,7.5,173,18.7,27.6,5.7,38,MEDIO,0
222,2025-04-06 16:30:00,EQ-002,Milho-GO,64.6,30.2,0.2,557,21.7,35.9,11.1,44,MEDIO,0
223,2025-04-06 17:15:00,EQ-001,Cerrado-MT,50.0,0.9,1.0,91,14.2,16.8,5.6,32,BAIXO,0
224,2025-04-06 18:00:00,EQ-016,Soja-PR,54.6,0.1,3.6,164,18.3,30.5,10.6,38,MEDIO,0
225,2025-04-06 18:45:00,EQ-012,Cerrado-MT,71.6,4.5,0.3,12,13.9,22.7,8.8,48,MEDIO,0
226,2025-04-06 19:30:00,EQ-005,Cerrado-MT,36.5,0.8,12.0,179,20.5,31.8,8.8,32,BAIXO,0
227,2025-04-06 20:15:00,EQ-005,Arroz-RS,80.8,11.0,6.7,259,16.3,22.6,8.4,49,MEDIO,0
228,2025-04-06 21:00:00,EQ-009,Cana-SP,46.5,19.7,9.5,254,19.6,37.4,6.4,42,MEDIO,0
229,2025-04-06 21:45:00,EQ-009,Milho-GO,60.2,4.6,2.3,121,11.7,22.6,6.5,37,MEDIO,0
230,2025-04-06 22:30:00,EQ-003,Cerrado-MT,27.0,2.4,4.2,114,13.0,13.2,10.7,21,BAIXO,0
231,2025-04-06 23:15:00,EQ-019,Milho-GO,69.4,4.6,13.1,34,9.8,23.3,9.0,53,MEDIO,0
232,2025-04-07 00:00:00,EQ-016,Cerrado-MT,83.9,10.3,40.3,137,13.7,26.4,8.4,82,CRITICO,1
233,2025-04-07 00:45:00,EQ-016,Soja-PR,44.7,0.1,0.6,31,2.6,34.5,9.9,34,BAIXO,0
234,2025-04-07 01:30:00,EQ-003,Cerrado-MT,32.8,7.1,26.5,436,16.2,20.4,9.2,34,BAIXO,0
235,2025-04-07 02:15:00,EQ-020,Arroz-RS,60.6,7.6,10.3,1017,14.8,20.6,7.4,31,BAIXO,0
236,2025-04-07 03:00:00,EQ-001,Cana-SP,84.1,8.1,10.0,1053,18.9,33.8,13.9,46,MEDIO,0
237,2025-04-07 03:45:00,EQ-020,Soja-PR,26.0,2.2,8.3,601,18.3,19.7,10.5,24,BAIXO,0
238,2025-04-07 04:30:00,EQ-011,Cerrado-MT,32.9,10.0,0.9,275,25.5,26.9,9.3,31,BAIXO,0
239,2025-04-07 05:15:00,EQ-017,Milho-GO,45.9,0.8,1.1,362,33.6,27.0,8.0,29,BAIXO,0
240,2025-04-07 06:00:00,EQ-008,Soja-PR,38.6,1.8,11.0,101,24.8,29.3,10.9,31,BAIXO,0
241,2025-04-07 06:45:00,EQ-004,Soja-PR,38.7,16.8,5.0,299,15.3,23.5,7.4,34,BAIXO,0
242,2025-04-07 07:30:00,EQ-006,Cerrado-MT,13.1,10.7,29.9,182,15.0,22.4,7.3,58,ALTO,1
243,2025-04-07 08:15:00,EQ-008,Soja-PR,66.8,0.1,6.3,197,23.2,30.0,12.4,42,MEDIO,0
244,2025-04-07 09:00:00,EQ-020,Milho-GO,61.8,2.3,1.9,425,7.9,22.6,9.1,36,MEDIO,0
245,2025-04-07 09:45:00,EQ-003,Soja-PR,21.0,1.9,15.1,99,16.1,19.8,7.5,41,MEDIO,0
246,2025-04-07 10:30:00,EQ-016,Milho-GO,84.1,2.5,4.2,115,16.6,35.4,9.0,52,MEDIO,0
247,2025-04-07 11:15:00,EQ-003,Cerrado-MT,88.6,2.3,8.9,776,21.5,30.9,10.7,43,MEDIO,0
248,2025-04-07 12:00:00,EQ-018,Cana-SP,40.0,0.5,14.4,17,21.7,38.6,10.2,41,MEDIO,0
249,2025-04-07 12:45:00,EQ-014,Soja-PR,78.3,4.9,27.7,199,13.5,32.7,10.9,57,ALTO,1
250,2025-04-07 13:30:00,EQ-018,Cana-SP,43.5,10.6,18.9,732,15.5,20.4,6.5,25,BAIXO,0
251,2025-04-07 14:15:00,EQ-002,Milho-GO,58.6,7.5,13.5,283,20.7,28.6,10.9,33,BAIXO,0
252,2025-04-07 15:00:00,EQ-003,Soja-PR,38.3,8.9,13.7,237,13.2,21.9,8.6,29,BAIXO,0
253,2025-04-07 15:45:00,EQ-016,Arroz-RS,99.3,0.7,35.0,86,25.2,18.1,9.2,60,ALTO,1
254,2025-04-07 16:30:00,EQ-009,Cana-SP,49.1,24.2,4.2,126,21.7,25.3,11.4,53,MEDIO,0
255,2025-04-07 17:15:00,EQ-004,Soja-PR,57.5,14.6,0.0,573,19.0,33.9,10.4,23,BAIXO,0
256,2025-04-07 18:00:00,EQ-001,Cana-SP,41.2,13.1,3.8,246,20.3,29.6,9.7,30,BAIXO,0
257,2025-04-07 18:45:00,EQ-004,Soja-PR,92.2,13.9,2.9,217,15.2,19.7,5.0,43,MEDIO,0
258,2025-04-07 19:30:00,EQ-001,Cerrado-MT,92.7,21.6,13.0,31,14.2,25.1,8.9,79,CRITICO,1
259,2025-04-07 20:15:00,EQ-014,Cana-SP,87.6,6.3,12.1,10,15.5,27.1,7.4,63,ALTO,1
260,2025-04-07 21:00:00,EQ-016,Arroz-RS,74.1,1.8,10.8,995,21.0,17.9,10.4,39,MEDIO,0
261,2025-04-07 21:45:00,EQ-020,Arroz-RS,42.5,7.7,0.2,142,19.2,32.3,11.0,29,BAIXO,0
262,2025-04-07 22:30:00,EQ-008,Milho-GO,71.6,10.9,15.7,277,15.5,26.6,8.4,41,MEDIO,0
263,2025-04-07 23:15:00,EQ-007,Soja-PR,54.9,10.7,4.7,25,22.5,19.7,7.7,48,MEDIO,0
264,2025-04-08 00:00:00,EQ-003,Cana-SP,81.2,5.9,13.1,345,17.0,19.3,12.1,49,MEDIO,0
265,2025-04-08 00:45:00,EQ-017,Milho-GO,77.3,0.6,9.8,809,13.8,34.6,7.8,35,MEDIO,0
266,2025-04-08 01:30:00,EQ-001,Cana-SP,42.0,3.7,5.0,257,19.5,25.7,6.6,23,BAIXO,0
267,2025-04-08 02:15:00,EQ-016,Soja-PR,74.0,20.3,1.7,40,11.9,35.1,7.3,63,ALTO,1
268,2025-04-08 03:00:00,EQ-012,Arroz-RS,68.6,7.0,1.2,261,7.9,37.4,7.9,32,BAIXO,0
269,2025-04-08 03:45:00,EQ-019,Cerrado-MT,10.0,6.2,21.4,436,18.0,34.1,7.3,33,BAIXO,0
270,2025-04-08 04:30:00,EQ-014,Arroz-RS,71.0,2.5,30.1,156,14.1,24.8,10.7,56,ALTO,1
271,2025-04-08 05:15:00,EQ-006,Milho-GO,46.4,3.7,12.6,636,16.5,13.0,4.6,26,BAIXO,0
272,2025-04-08 06:00:00,EQ-006,Cerrado-MT,37.3,18.1,1.3,314,12.2,29.9,7.2,43,MEDIO,0
273,2025-04-08 06:45:00,EQ-013,Milho-GO,38.1,8.8,6.2,689,25.3,40.5,8.9,25,BAIXO,0
274,2025-04-08 07:30:00,EQ-019,Soja-PR,52.3,12.4,15.7,293,14.0,27.8,9.4,42,MEDIO,0
275,2025-04-08 08:15:00,EQ-008,Cerrado-MT,64.6,4.8,18.2,42,15.4,16.1,12.4,50,MEDIO,0
276,2025-04-08 09:00:00,EQ-002,Milho-GO,27.7,8.0,1.5,111,20.3,24.0,12.1,30,BAIXO,0
277,2025-04-08 09:45:00,EQ-001,Soja-PR,58.8,2.3,0.0,68,9.7,26.9,5.8,36,MEDIO,0
278,2025-04-08 10:30:00,EQ-015,Arroz-RS,66.5,9.8,14.9,718,9.3,21.4,5.2,42,MEDIO,0
279,2025-04-08 11:15:00,EQ-001,Soja-PR,92.2,4.5,5.3,429,20.3,12.6,9.0,43,MEDIO,0
280,2025-04-08 12:00:00,EQ-005,Cana-SP,33.5,4.7,3.5,338,15.3,27.4,7.7,15,BAIXO,0
281,2025-04-08 12:45:00,EQ-016,Soja-PR,48.0,8.4,0.2,107,12.6,23.3,6.6,40,MEDIO,0
282,2025-04-08 13:30:00,EQ-019,Soja-PR,60.2,22.0,9.3,61,21.6,38.6,9.0,55,ALTO,1
283,2025-04-08 14:15:00,EQ-004,Cana-SP,77.9,0.5,22.9,424,13.1,28.6,9.5,47,MEDIO,0
284,2025-04-08 15:00:00,EQ-003,Milho-GO,48.9,13.9,37.9,193,16.4,30.8,7.3,54,MEDIO,0
285,2025-04-08 15:45:00,EQ-017,Milho-GO,79.0,2.8,10.0,77,12.6,27.3,7.8,50,MEDIO,0
286,2025-04-08 16:30:00,EQ-017,Soja-PR,16.3,4.7,8.7,288,19.8,28.6,7.5,30,BAIXO,0
287,2025-04-08 17:15:00,EQ-012,Cana-SP,29.9,0.2,1.1,12,26.0,18.1,8.2,37,MEDIO,0
288,2025-04-08 18:00:00,EQ-014,Cana-SP,62.0,2.9,9.6,118,6.8,21.8,10.1,44,MEDIO,0
289,2025-04-08 18:45:00,EQ-006,Arroz-RS,26.8,5.6,5.7,190,18.7,34.5,6.8,32,BAIXO,0
290,2025-04-08 19:30:00,EQ-003,Milho-GO,31.5,0.5,11.2,48,23.1,29.3,7.7,42,MEDIO,0
291,2025-04-08 20:15:00,EQ-009,Cerrado-MT,44.4,5.4,5.9,1253,15.5,25.6,8.2,17,BAIXO,0
292,2025-04-08 21:00:00,EQ-005,Milho-GO,70.4,21.0,3.3,70,11.2,30.9,9.0,52,MEDIO,0
293,2025-04-08 21:45:00,EQ-017,Milho-GO,17.1,0.9,1.2,42,20.5,31.0,9.6,35,MEDIO,0
294,2025-04-08 22:30:00,EQ-014,Arroz-RS,58.4,11.6,4.5,68,24.0,39.9,13.1,40,MEDIO,0
295,2025-04-08 23:15:00,EQ-003,Cerrado-MT,75.7,4.2,1.2,440,23.3,29.0,10.1,40,MEDIO,0
296,2025-04-09 00:00:00,EQ-001,Arroz-RS,51.1,8.5,2.3,166,20.2,21.6,10.2,43,MEDIO,0
297,2025-04-09 00:45:00,EQ-020,Cerrado-MT,47.6,2.4,52.4,250,18.6,27.3,8.5,44,MEDIO,0
298,2025-04-09 01:30:00,EQ-001,Soja-PR,63.0,1.4,7.0,10,12.6,31.6,7.0,44,MEDIO,0
299,2025-04-09 02:15:00,EQ-003,Cerrado-MT,51.2,1.4,9.1,11,23.2,34.0,7.9,51,MEDIO,0
300,2025-04-09 03:00:00,EQ-018,Arroz-RS,82.8,0.6,24.8,177,22.9,18.3,7.6,64,ALTO,1
301,2025-04-09 03:45:00,EQ-010,Milho-GO,32.8,1.6,65.0,509,11.2,29.5,9.8,39,MEDIO,0
302,2025-04-09 04:30:00,EQ-003,Cerrado-MT,54.0,8.7,10.5,649,20.2,22.6,5.7,26,BAIXO,0
303,2025-04-09 05:15:00,EQ-008,Cerrado-MT,59.1,17.1,20.1,27,21.9,24.6,10.2,62,ALTO,1
304,2025-04-09 06:00:00,EQ-014,Cana-SP,47.4,13.5,4.8,232,23.3,33.1,8.8,30,BAIXO,0
305,2025-04-09 06:45:00,EQ-018,Milho-GO,10.0,9.2,4.4,733,17.6,32.5,10.5,22,BAIXO,0
306,2025-04-09 07:30:00,EQ-015,Soja-PR,51.8,0.9,6.2,147,12.9,23.9,7.6,40,MEDIO,0
307,2025-04-09 08:15:00,EQ-002,Arroz-RS,73.0,2.7,13.4,531,15.0,27.1,7.2,32,BAIXO,0
308,2025-04-09 09:00:00,EQ-010,Soja-PR,70.6,3.0,13.8,43,12.0,24.8,8.2,54,MEDIO,0
309,2025-04-09 09:45:00,EQ-002,Milho-GO,62.1,2.3,4.5,822,17.7,42.0,8.1,22,BAIXO,0
310,2025-04-09 10:30:00,EQ-017,Cerrado-MT,33.0,5.8,1.7,418,16.5,29.7,10.6,20,BAIXO,0
311,2025-04-09 11:15:00,EQ-008,Cerrado-MT,62.9,6.1,12.0,851,30.9,23.0,10.6,26,BAIXO,0
312,2025-04-09 12:00:00,EQ-001,Milho-GO,43.5,3.5,1.6,339,23.4,35.9,12.8,20,BAIXO,0
313,2025-04-09 12:45:00,EQ-009,Cerrado-MT,62.1,3.5,10.4,135,23.8,36.1,8.0,45,MEDIO,0
314,2025-04-09 13:30:00,EQ-011,Cerrado-MT,57.4,14.1,14.2,835,20.8,38.8,2.3,37,MEDIO,0
315,2025-04-09 14:15:00,EQ-016,Cerrado-MT,35.5,12.5,14.5,97,15.8,40.5,8.2,42,MEDIO,0
316,2025-04-09 15:00:00,EQ-007,Arroz-RS,37.2,2.9,16.8,121,16.3,32.2,9.5,40,MEDIO,0
317,2025-04-09 15:45:00,EQ-010,Arroz-RS,62.1,19.6,24.7,362,16.9,25.9,10.4,57,ALTO,1
318,2025-04-09 16:30:00,EQ-003,Cana-SP,50.6,24.4,8.3,435,19.1,26.8,9.6,51,MEDIO,0
319,2025-04-09 17:15:00,EQ-018,Soja-PR,38.2,3.2,15.7,795,20.3,26.2,8.0,19,BAIXO,0
320,2025-04-09 18:00:00,EQ-013,Milho-GO,36.5,3.5,11.6,69,18.0,25.6,12.4,34,BAIXO,0
321,2025-04-09 18:45:00,EQ-007,Milho-GO,48.9,5.6,2.5,480,16.3,35.4,6.9,26,BAIXO,0
322,2025-04-09 19:30:00,EQ-004,Milho-GO,86.4,22.7,0.3,402,14.4,28.0,8.5,56,ALTO,1
323,2025-04-09 20:15:00,EQ-013,Cana-SP,44.5,16.7,4.0,20,9.6,33.8,6.8,51,MEDIO,0
324,2025-04-09 21:00:00,EQ-020,Arroz-RS,54.7,0.9,7.0,147,25.7,32.1,9.0,36,MEDIO,0
325,2025-04-09 21:45:00,EQ-001,Cana-SP,57.0,4.0,11.5,100,31.2,21.4,12.2,47,MEDIO,0
326,2025-04-09 22:30:00,EQ-008,Milho-GO,32.4,6.4,22.8,109,25.2,17.7,8.7,46,MEDIO,0
327,2025-04-09 23:15:00,EQ-014,Soja-PR,19.7,5.6,2.6,1221,10.4,20.6,8.7,14,BAIXO,0
328,2025-04-10 00:00:00,EQ-016,Cerrado-MT,34.5,1.7,1.6,309,22.7,25.4,5.6,21,BAIXO,0
329,2025-04-10 00:45:00,EQ-014,Arroz-RS,59.9,15.7,39.7,379,24.1,28.8,8.4,60,ALTO,1
330,2025-04-10 01:30:00,EQ-012,Arroz-RS,56.7,9.0,1.4,1127,15.6,24.1,11.3,30,BAIXO,0
331,2025-04-10 02:15:00,EQ-019,Cana-SP,69.0,14.6,7.8,142,20.9,32.2,8.5,54,MEDIO,0
332,2025-04-10 03:00:00,EQ-015,Arroz-RS,56.9,15.7,10.6,486,15.3,24.8,8.4,46,MEDIO,0
333,2025-04-10 03:45:00,EQ-002,Milho-GO,52.8,11.0,9.4,171,27.2,29.5,11.2,45,MEDIO,0
334,2025-04-10 04:30:00,EQ-002,Milho-GO,42.9,4.6,1.1,611,20.2,28.7,8.4,13,BAIXO,0
335,2025-04-10 05:15:00,EQ-019,Cana-SP,72.7,7.5,0.7,60,12.5,38.4,11.6,42,MEDIO,0
336,2025-04-10 06:00:00,EQ-017,Milho-GO,36.6,1.4,1.3,885,22.0,22.1,6.4,12,BAIXO,0
337,2025-04-10 06:45:00,EQ-020,Soja-PR,32.8,9.0,10.6,74,24.4,41.3,10.4,42,MEDIO,0
338,2025-04-10 07:30:00,EQ-010,Cana-SP,66.3,1.6,9.4,118,19.2,24.4,12.3,50,MEDIO,0
339,2025-04-10 08:15:00,EQ-006,Soja-PR,28.3,9.5,3.2,423,20.9,20.0,11.0,32,BAIXO,0
340,2025-04-10 09:00:00,EQ-015,Cerrado-MT,100.0,2.1,12.2,150,17.6,26.7,5.3,51,MEDIO,0
341,2025-04-10 09:45:00,EQ-011,Soja-PR,56.6,1.0,20.6,281,11.2,42.0,7.7,39,MEDIO,0
342,2025-04-10 10:30:00,EQ-005,Cerrado-MT,62.0,1.4,0.5,176,17.1,33.4,8.5,38,MEDIO,0
343,2025-04-10 11:15:00,EQ-001,Cerrado-MT,38.8,0.0,8.3,407,21.1,31.6,11.0,28,BAIXO,0
344,2025-04-10 12:00:00,EQ-008,Soja-PR,48.7,10.1,14.0,78,17.2,32.8,6.3,48,MEDIO,0
345,2025-04-10 12:45:00,EQ-012,Cana-SP,46.5,10.5,3.5,18,22.8,23.4,7.0,52,MEDIO,0
346,2025-04-10 13:30:00,EQ-012,Milho-GO,44.2,5.8,4.4,107,15.6,30.0,5.8,26,BAIXO,0
347,2025-04-10 14:15:00,EQ-005,Milho-GO,67.7,1.4,11.4,193,16.0,28.0,7.3,47,MEDIO,0
348,2025-04-10 15:00:00,EQ-007,Cerrado-MT,46.0,0.7,27.4,55,23.0,38.9,6.5,47,MEDIO,0
349,2025-04-10 15:45:00,EQ-004,Cerrado-MT,75.4,0.2,19.9,131,19.3,27.3,12.2,43,MEDIO,0
350,2025-04-10 16:30:00,EQ-006,Cana-SP,100.0,1.4,10.5,153,15.5,25.7,7.7,57,ALTO,1
351,2025-04-10 17:15:00,EQ-013,Arroz-RS,49.1,17.7,15.7,18,24.2,21.0,10.4,61,ALTO,1
352,2025-04-10 18:00:00,EQ-020,Soja-PR,58.0,2.2,5.4,263,13.9,28.8,9.0,25,BAIXO,0
353,2025-04-10 18:45:00,EQ-015,Cerrado-MT,62.6,3.5,12.3,647,13.6,29.8,9.0,25,BAIXO,0
354,2025-04-10 19:30:00,EQ-003,Milho-GO,91.2,0.9,7.5,49,1.0,20.8,7.8,57,ALTO,1
355,2025-04-10 20:15:00,EQ-008,Cana-SP,53.3,2.0,2.5,273,14.7,30.7,10.5,25,BAIXO,0
356,2025-04-10 21:00:00,EQ-020,Soja-PR,38.4,5.9,14.5,328,25.9,29.4,9.3,28,BAIXO,0
357,2025-04-10 21:45:00,EQ-016,Cana-SP,29.7,7.5,9.8,163,5.6,34.1,9.2,37,MEDIO,0
358,2025-04-10 22:30:00,EQ-013,Soja-PR,53.8,2.3,5.3,362,12.3,35.3,7.8,27,BAIXO,0
359,2025-04-10 23:15:00,EQ-018,Soja-PR,46.0,0.5,29.1,159,20.6,28.6,8.1,48,MEDIO,0
360,2025-04-11 00:00:00,EQ-010,Cerrado-MT,95.2,4.0,0.3,211,4.5,21.8,10.2,43,MEDIO,0
361,2025-04-11 00:45:00,EQ-019,Cana-SP,90.4,2.1,4.6,10,14.9,23.0,9.5,57,ALTO,1
362,2025-04-11 01:30:00,EQ-017,Cana-SP,34.3,2.0,0.7,353,24.8,38.6,9.2,25,BAIXO,0
363,2025-04-11 02:15:00,EQ-019,Milho-GO,40.8,25.7,17.5,325,30.3,29.0,7.5,49,MEDIO,0
364,2025-04-11 03:00:00,EQ-005,Milho-GO,56.5,7.7,14.5,12,19.7,38.5,12.9,52,MEDIO,0
365,2025-04-11 03:45:00,EQ-009,Cerrado-MT,82.9,6.5,4.8,138,12.4,31.0,8.0,52,MEDIO,0
366,2025-04-11 04:30:00,EQ-012,Cerrado-MT,56.1,4.3,13.5,1159,12.2,32.5,8.9,24,BAIXO,0
367,2025-04-11 05:15:00,EQ-001,Arroz-RS,42.1,4.5,6.0,164,18.9,33.6,8.6,28,BAIXO,0
368,2025-04-11 06:00:00,EQ-001,Milho-GO,53.8,6.2,16.9,209,19.7,20.7,12.9,33,BAIXO,0
369,2025-04-11 06:45:00,EQ-015,Soja-PR,42.4,9.5,7.3,722,29.1,29.8,8.4,24,BAIXO,0
370,2025-04-11 07:30:00,EQ-002,Cana-SP,67.0,9.7,6.4,379,23.8,20.6,8.2,47,MEDIO,0
371,2025-04-11 08:15:00,EQ-016,Cerrado-MT,40.8,1.5,32.8,262,18.5,26.3,9.2,34,BAIXO,0
372,2025-04-11 09:00:00,EQ-008,Cana-SP,44.8,5.5,3.5,480,16.0,31.8,7.6,22,BAIXO,0
373,2025-04-11 09:45:00,EQ-013,Cana-SP,78.2,4.2,1.5,599,36.1,21.8,9.2,32,BAIXO,0
374,2025-04-11 10:30:00,EQ-001,Arroz-RS,39.6,16.4,10.5,183,21.8,31.4,13.7,49,MEDIO,0
375,2025-04-11 11:15:00,EQ-016,Milho-GO,26.1,8.0,41.8,193,14.0,19.0,9.6,55,ALTO,1
376,2025-04-11 12:00:00,EQ-007,Cerrado-MT,56.9,6.1,5.7,146,16.7,34.9,9.5,31,BAIXO,0
377,2025-04-11 12:45:00,EQ-005,Cana-SP,47.8,1.0,0.8,1021,12.7,24.0,7.6,24,BAIXO,0
378,2025-04-11 13:30:00,EQ-003,Cerrado-MT,65.2,7.4,5.0,358,3.6,21.8,12.4,38,MEDIO,0
379,2025-04-11 14:15:00,EQ-012,Soja-PR,61.3,1.0,8.5,26,19.9,19.4,12.9,52,MEDIO,0
380,2025-04-11 15:00:00,EQ-016,Arroz-RS,54.4,3.3,2.1,596,28.7,24.5,10.7,22,BAIXO,0
381,2025-04-11 15:45:00,EQ-019,Soja-PR,53.8,1.2,12.9,197,8.2,16.6,10.3,44,MEDIO,0
382,2025-04-11 16:30:00,EQ-005,Cerrado-MT,40.3,9.4,73.2,21,18.3,24.7,8.5,63,ALTO,1
383,2025-04-11 17:15:00,EQ-014,Cerrado-MT,56.7,1.8,7.2,239,13.8,34.6,9.8,25,BAIXO,0
384,2025-04-11 18:00:00,EQ-005,Milho-GO,72.6,4.0,5.3,162,21.1,26.9,7.3,41,MEDIO,0
385,2025-04-11 18:45:00,EQ-015,Cana-SP,35.5,18.1,6.1,631,17.0,20.9,6.7,25,BAIXO,0
386,2025-04-11 19:30:00,EQ-017,Cana-SP,54.9,1.8,1.5,68,9.8,29.4,6.0,34,BAIXO,0
387,2025-04-11 20:15:00,EQ-014,Soja-PR,75.8,5.7,25.8,525,12.1,28.8,9.8,44,MEDIO,0
388,2025-04-11 21:00:00,EQ-020,Arroz-RS,65.1,4.3,6.4,245,13.0,39.7,6.2,35,MEDIO,0
389,2025-04-11 21:45:00,EQ-005,Cana-SP,81.2,0.1,5.9,17,26.1,32.7,8.0,58,ALTO,1
390,2025-04-11 22:30:00,EQ-012,Milho-GO,43.6,12.6,12.9,1071,25.8,29.8,8.9,31,BAIXO,0
391,2025-04-11 23:15:00,EQ-016,Soja-PR,18.4,0.6,7.0,216,16.1,33.4,11.0,20,BAIXO,0
392,2025-04-12 00:00:00,EQ-016,Soja-PR,59.0,5.1,12.5,103,25.4,27.2,7.8,49,MEDIO,0
393,2025-04-12 00:45:00,EQ-007,Milho-GO,62.3,6.6,0.8,190,17.0,27.5,11.2,38,MEDIO,0
394,2025-04-12 01:30:00,EQ-004,Arroz-RS,82.4,7.9,20.2,585,16.0,38.0,10.9,50,MEDIO,0
395,2025-04-12 02:15:00,EQ-001,Milho-GO,78.8,9.3,33.9,109,18.3,18.2,6.9,63,ALTO,1
396,2025-04-12 03:00:00,EQ-005,Arroz-RS,65.7,2.3,12.6,64,19.7,33.8,11.2,46,MEDIO,0
397,2025-04-12 03:45:00,EQ-010,Milho-GO,70.3,0.1,37.1,41,14.7,27.3,8.4,64,ALTO,1
398,2025-04-12 04:30:00,EQ-005,Milho-GO,51.2,10.3,2.0,106,18.1,26.3,8.0,35,MEDIO,0
399,2025-04-12 05:15:00,EQ-004,Cerrado-MT,30.6,6.1,7.8,454,22.7,24.7,8.4,25,BAIXO,0
400,2025-04-12 06:00:00,EQ-002,Soja-PR,57.4,14.5,11.0,191,18.8,28.9,9.0,39,MEDIO,0
401,2025-04-12 06:45:00,EQ-020,Milho-GO,74.7,13.8,10.5,77,18.3,27.7,8.2,56,ALTO,1
402,2025-04-12 07:30:00,EQ-010,Milho-GO,68.1,14.8,6.2,55,21.0,25.5,7.3,46,MEDIO,0
403,2025-04-12 08:15:00,EQ-019,Cana-SP,71.7,5.3,5.0,121,22.0,23.8,7.5,41,MEDIO,0
404,2025-04-12 09:00:00,EQ-001,Soja-PR,46.4,3.2,1.6,844,17.6,16.6,9.3,20,BAIXO,0
405,2025-04-12 09:45:00,EQ-005,Cana-SP,49.7,12.5,6.0,126,15.2,23.7,8.7,47,MEDIO,0
406,2025-04-12 10:30:00,EQ-013,Soja-PR,64.7,4.8,2.1,1330,19.1,24.9,10.1,18,BAIXO,0
407,2025-04-12 11:15:00,EQ-004,Cana-SP,44.1,1.6,15.9,199,8.4,28.9,9.1,38,MEDIO,0
408,2025-04-12 12:00:00,EQ-016,Milho-GO,44.7,15.4,2.8,59,16.7,39.8,9.2,47,MEDIO,0
409,2025-04-12 12:45:00,EQ-016,Milho-GO,61.0,17.1,0.7,665,3.2,24.3,10.2,28,BAIXO,0
410,2025-04-12 13:30:00,EQ-002,Cerrado-MT,70.2,5.0,9.6,185,7.9,21.9,11.8,48,MEDIO,0
411,2025-04-12 14:15:00,EQ-017,Cana-SP,51.0,0.6,10.9,371,7.0,23.7,11.9,38,MEDIO,0
412,2025-04-12 15:00:00,EQ-020,Arroz-RS,31.7,3.9,24.7,1235,24.3,28.9,11.7,26,BAIXO,0
413,2025-04-12 15:45:00,EQ-012,Cerrado-MT,40.3,13.0,10.3,15,18.1,31.5,10.7,52,MEDIO,0
414,2025-04-12 16:30:00,EQ-018,Cana-SP,59.1,18.6,5.1,31,10.4,32.4,13.2,56,ALTO,1
415,2025-04-12 17:15:00,EQ-003,Cana-SP,58.8,1.8,19.5,382,20.9,33.0,9.9,33,BAIXO,0
416,2025-04-12 18:00:00,EQ-001,Cerrado-MT,59.8,0.6,9.3,99,23.9,33.8,9.7,42,MEDIO,0
417,2025-04-12 18:45:00,EQ-001,Milho-GO,65.4,16.8,1.0,61,21.1,26.3,13.5,59,ALTO,1
418,2025-04-12 19:30:00,EQ-019,Cana-SP,55.1,3.9,10.0,12,16.9,40.3,3.5,46,MEDIO,0
419,2025-04-12 20:15:00,EQ-011,Milho-GO,60.3,6.2,28.6,10,19.4,25.9,8.6,56,ALTO,1
420,2025-04-12 21:00:00,EQ-005,Cerrado-MT,54.1,27.6,6.1,447,23.4,28.7,11.5,50,MEDIO,0
421,2025-04-12 21:45:00,EQ-012,Milho-GO,78.0,0.6,4.2,43,15.2,35.8,11.0,51,MEDIO,0
422,2025-04-12 22:30:00,EQ-003,Soja-PR,83.6,8.4,1.9,189,18.2,31.4,14.0,58,ALTO,1
423,2025-04-12 23:15:00,EQ-001,Arroz-RS,31.2,0.6,2.0,279,16.5,14.6,9.2,19,BAIXO,0
424,2025-04-13 00:00:00,EQ-001,Cana-SP,49.9,3.8,6.8,168,8.3,28.0,8.1,37,MEDIO,0
425,2025-04-13 00:45:00,EQ-008,Arroz-RS,55.7,13.0,10.9,10,23.5,33.2,8.3,55,ALTO,1
426,2025-04-13 01:30:00,EQ-010,Milho-GO,49.7,4.5,1.0,459,30.3,19.9,9.6,23,BAIXO,0
427,2025-04-13 02:15:00,EQ-011,Cana-SP,90.9,45.0,33.7,10,12.8,32.5,12.2,91,CRITICO,1
428,2025-04-13 03:00:00,EQ-012,Milho-GO,59.5,6.6,16.9,431,23.8,30.3,12.3,31,BAIXO,0
